Plan;TurbineBlade_HPT_Stage1;Calypso Version;7.6.10
Part Name;HPT Blade Stage 1;Drawing No;TB-1001-A
Part ID;SN-2026-04471;Batch;C-2278
Operator;M.Kovac;CMM;ZEISS PRISMO navigator 9/15/7
Date;2026-07-14;Time;09:42:17
Temperature;20.1 C;Probe;VAST gold, 3mm ruby stylus
Alignment;Datum A (platform) / Datum B (fir-tree flank) / Datum C (LE stack point)
;;;;;;;
Characteristic;Type;Nominal;Actual;Deviation;Tol -;Tol +;Out of Tol
FirTree_FlankAngle_Lobe3_L;Angle;40.0000;39.9972;-0.0028;-0.0330;0.0330;
FirTree_FlankAngle_Lobe3_R;Angle;40.0000;40.0018;0.0018;-0.0330;0.0330;
FirTree_Flank_Profile_Lobe1;LineProfile;0.0000;0.0061;0.0061;0.0000;0.0150;
FirTree_Flank_Profile_Lobe2;LineProfile;0.0000;0.0078;0.0078;0.0000;0.0150;
FirTree_Flank_Profile_Lobe3;LineProfile;0.0000;0.0092;0.0092;0.0000;0.0150;
FirTree_Symmetry_to_DatumB;Symmetry;0.0000;0.0087;0.0087;0.0000;0.0200;
Platform_Height_to_DatumA;Distance;12.0000;12.0043;0.0043;-0.0250;0.0250;
Platform_Parallelism_to_A;Parallelism;0.0000;0.0112;0.0112;0.0000;0.0300;
Platform_Perpendicularity_B;Perpendicularity;0.0000;0.0134;0.0134;0.0000;0.0300;
Stack_Axis_Position_X;Position;0.0000;0.0176;0.0176;0.0000;0.0500;
Stack_Axis_Position_Y;Position;0.0000;0.0231;0.0231;0.0000;0.0500;
Tip_Shroud_SealFin1_Height;Distance;3.2000;3.2041;0.0041;-0.0250;0.0250;
Tip_Shroud_SealFin2_Height;Distance;3.2000;3.1987;-0.0013;-0.0250;0.0250;
CoolingHole_Row1_H01_Pos;Position;0.0000;0.0821;0.0821;0.0000;0.2000;
CoolingHole_Row1_H01_Dia;Diameter;0.6000;0.6134;0.0134;-0.0500;0.0500;
CoolingHole_Row1_H02_Pos;Position;0.0000;0.1147;0.1147;0.0000;0.2000;
CoolingHole_Row1_H02_Dia;Diameter;0.6000;0.5912;-0.0088;-0.0500;0.0500;
CoolingHole_Row1_H03_Pos;Position;0.0000;0.0654;0.0654;0.0000;0.2000;
CoolingHole_Row1_H03_Dia;Diameter;0.6000;0.6087;0.0087;-0.0500;0.0500;
;;;;;;;
Summary;;;;;;;
Characteristics Total;62;;;;;;
Characteristics In Tolerance;60;;;;;;
Characteristics Out of Tolerance;2;;;;;;
Result;REWORK / CONCESSION REVIEW;;;;;;
